路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
奥羽線,,,,0,0,,秋田→青森,185.8
米坂線,米沢,坂町,90.7,23,67.7,post_add,米沢→今泉,23
左沢線,北山形,左沢,24.3,0,24.3,post_add,未乗,
男鹿線,追分,男鹿,26.4,26.4,0,,追分→男鹿,26.4
五能線,東能代,川部,147.2,147.2,0,,東能代→川部,147.2
津軽線,青森,三厩,55.8,27,28.8,post_add,青森→蟹田,27
羽越線,新津,秋田,271.7,271.7,0,,新津→秋田,271.7
白新線,新潟,新発田,27.3,27.3,0,,新潟→新発田,27.3
陸羽東線,小牛田,新庄,94.1,0,94.1,post_add,未乗,
陸羽西線,新庄,余目,43,0,43,post_add,未乗,
信越線,高崎,横川,29.7,29.7,0,,高崎→横川,29.7
信越線,篠ノ井,長野,9.3,9.3,0,,篠ノ井→長野,9.3
信越線,直江津,新潟,136.3,136.3,0,,直江津→新潟,136.3
北陸新幹線,高崎,上越妙高,176.9,176.9,0,,高崎→上越妙高,176.9
飯山線,豊野,越後川口,96.7,96.7,0,,豊野→越後川口,96.7
越後線,柏崎,新潟,83.8,83.8,0,,柏崎→新潟,83.8
弥彦線,弥彦,東三条,17.4,17.4,0,,弥彦←東三条,17.4
総武線,東京,銚子,120.5,120.5,0,,東京→銚子,120.5
総武線,御茶ノ水,錦糸町,4.3,4.3,0,,御茶ノ水→錦糸町,4.3
京葉線,東京,蘇我,43,43,0,,東京→蘇我,43
京葉線,市川塩浜,西船橋,5.9,5.9,0,,市川塩浜→西船橋,5.9
京葉線,西船橋,南船橋,5.4,5.4,0,,西船橋→南船橋,5.4
外房線,千葉,安房鴨川,93.3,93.3,0,,千葉→安房鴨川,93.3
内房線,蘇我,安房鴨川,119.4,119.4,0,,蘇我→安房鴨川,119.4
成田線,佐倉,松岸,75.4,75.4,0,,佐倉→松岸,75.4
成田線,我孫子,成田,32.9,32.9,0,,我孫子→成田,32.9
成田線,成田,成田空港,10.8,0,10.8,post_add,未乗,
鹿島線,香取,鹿島サッカースタジアム,17.4,17.4,0,,香取→鹿島サッカースタジアム,17.4
久留里線,木更津,上総亀山,32.2,0,32.2,post_add,未乗,
東金線,大網,成東,13.8,0,13.8,post_add,未乗,
東海道線,熱海,米原,341.3,341.3,0,,熱海→米原,341.3
東海道線,大垣,美濃赤坂,5,5,0,,大垣→美濃赤坂,5
東海道線,大垣,関ヶ原,13.8,13.8,0,,大垣→関ヶ原,13.8
東海道新幹線,東京,新大阪,552.6,552.6,0,,東京→新大阪,552.6
御殿場線,国府津,沼津,60.2,60.2,0,,国府津→沼津,60.2
身延線,富士,甲府,88.4,88.4,0,,富士→甲府,88.4
飯田線,豊橋,辰野,195.7,195.7,0,,豊橋→飯田,129.3
飯田線,,,,0,0,,飯田→辰野,66.4
武豊線,大府,武豊,19.3,19.3,0,,大府→武豊,19.3
高山線,岐阜,猪谷,189.2,189.2,0,,岐阜→猪谷,189.2
中央線,塩尻,名古屋,174.8,174.8,0,,塩尻←名古屋,174.8
太多線,多治見,美濃太田,17.8,17.8,0,,多治見→美濃太田,17.8
関西線,名古屋,亀山,59.9,59.9,0,,名古屋→河原田,44.1
関西線,,,,0,0,,河原田→亀山,15.8
紀勢線,亀山,新宮,180.2,180.2,0,,亀山→津,15.5
紀勢線,,,,0,0,,津→新宮,164.7
名松線,松阪,伊勢奥津,43.5,43.5,0,,松阪→伊勢奥津,43.5
参宮線,多気,鳥羽,29.1,29.1,0,,多気→鳥羽,29.1
東海道線,米原,神戸,143.6,143.6,0,,米原→神戸,143.6
