鉄道会社,路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
えちぜん鉄道,三国芦原線,福井口,三国港,25.2,0,25.2,post_add,未乗,
ハピラインふくい,ハピラインふくい線,敦賀,大聖寺,84.3,84.3,0,,敦賀←大聖寺,84.3
京成電鉄,本線,米原,貴生川,47.7,0,47.7,post_add,未乗,
近江鉄道,多賀線,高宮,多賀大社前,2.5,0,2.5,post_add,未乗,
近江鉄道,八日市線,八日市,近江八幡,9.3,0,9.3,post_add,未乗,
信楽高原鐵道,信楽線,貴生川,信楽,14.7,0,14.7,post_add,未乗,
京都丹後鉄道（WILLER TRAINS）,宮福線,福知山,宮津,30.4,30.4,0,,福知山→宮津,30.4
京都丹後鉄道（WILLER TRAINS）,宮津線,西舞鶴,豊岡,83.6,61.1,22.5,post_add,西舞鶴→夕日ヶ浦木津温泉,61.1
嵯峨野観光鉄道,嵯峨野観光線,トロッコ嵯峨,トロッコ亀岡,7.3,0,7.3,post_add,未乗,
叡山電鉄,叡山本線,出町柳,八瀬比叡山口,5.6,0,5.6,post_add,未乗,
叡山電鉄,鞍馬線,宝ヶ池,鞍馬,8.8,0,8.8,post_add,未乗,
京福電気鉄道,嵐山本線,四条大宮,嵐山,7.2,0,7.2,post_add,未乗,
京福電気鉄道,北野線,北野白梅町,帷子ノ辻,3.8,0,3.8,post_add,未乗,
南海電気鉄道,鋼索線,ケーブル八瀬,ケーブル比叡,1.3,0,1.3,post_add,未乗,
大阪市高速電気軌道,御堂筋線,江坂,中百舌鳥,24.5,7.6,16.9,post_add,新大阪←難波,7.6
大阪市高速電気軌道,谷町線,大日,八尾南,28.1,0,28.1,post_add,未乗,
大阪市高速電気軌道,四つ橋線,西梅田,住之江公園,11.4,0,11.4,post_add,未乗,
大阪市高速電気軌道,中央線,夢洲,長田,21.1,0,21.1,post_add,未乗,
大阪市高速電気軌道,千日前線,野田阪神,南巽,12.6,0,12.6,post_add,未乗,
大阪市高速電気軌道,堺筋線,天神橋筋六丁目,天下茶屋,8.5,0,8.5,post_add,未乗,
大阪市高速電気軌道,長堀鶴見緑地線,大正,門真南,15,0,15,post_add,未乗,
大阪市高速電気軌道,今里筋線,井高野,今里,11.9,0,11.9,post_add,未乗,
大阪市高速電気軌道,南港ポートタウン線,コスモスクエア,住之江公園,7.9,0,7.9,post_add,未乗,
水間鉄道,水間線,貝塚,水間観音,5.5,0,5.5,post_add,未乗,
阪堺電気軌道,阪堺線,恵美須町,浜寺駅前,14,0,14,post_add,未乗,
阪堺電気軌道,上町線,天王寺駅前,住吉,4.3,0,4.3,post_add,未乗,
紀州鉄道,紀州鉄道線,御坊,西御坊,2.7,0,2.7,post_add,未乗,
和歌山電鐵,貴志川線,和歌山,貴志,14.3,0,14.3,post_add,未乗,
神戸電鉄,有馬線,湊川,有馬温泉,22.5,0,22.5,post_add,未乗,
東京都交通局,三田線,有馬口,三田,12,0,12,post_add,未乗,
神戸電鉄,公園都市線,横山,ウッディタウン中央,5.5,0,5.5,post_add,未乗,
神戸電鉄,粟生線,鈴蘭台,粟生,29.2,0,29.2,post_add,未乗,
阪急電鉄,神戸高速線,新開地,湊川,0.4,0,0.4,post_add,未乗,
能勢電鉄,妙見線,川西能勢口,妙見口,12.2,8.2,4,post_add,川西能勢口→山下,8.2
能勢電鉄,日生線,山下,日生中央,2.6,2.6,0,,山下→日生中央,2.6
北条鉄道,北条線,粟生,北条町,13.6,0,13.6,post_add,未乗,
水島臨海鉄道,水島本線,倉敷市,三菱自工前,10.4,0,10.4,post_add,未乗,
岡山電気軌道,東山本線,岡山駅前,東山・おかでんチャギントンミュージアム駅,3.1,0,3.1,post_add,未乗,
岡山電気軌道,清輝橋線,柳川,清輝橋,1.6,0,1.6,post_add,未乗,
井原鉄道,井原線,総社,神辺,41.7,0,41.7,post_add,未乗,
京成電鉄,本線,広島駅,広電西広島,5.2,0,5.2,post_add,未乗,
広島電鉄,宇品線,紙屋町,広島港,5.9,0,5.9,post_add,未乗,
広島電鉄,江波線,土橋,江波,2.6,0,2.6,post_add,未乗,
広島電鉄,横川線,十日市町,横川駅,1.4,0,1.4,post_add,未乗,
広島電鉄,皆実線,稲荷町,皆実町六丁目,2.2,0,2.2,post_add,未乗,
広島電鉄,白島線,八丁堀,白島,1.2,0,1.2,post_add,未乗,
広島電鉄,宮島線,広電西広島,広電宮島口,16.1,0,16.1,post_add,未乗,
京成電鉄,本線,的場町,稲荷町,0.3,0,0.3,post_add,未乗,
広島電鉄,皆実線,的場町,比治山下,0.9,0,0.9,post_add,未乗,
錦川鉄道,錦川清流線,川西,錦町,32.7,0,32.7,post_add,未乗,
智頭急行,智頭急行線,上郡,智頭,56.1,56.1,0,,上郡→智頭,56.1
若桜鉄道,若桜線,郡家,若桜,19.2,0,19.2,post_add,未乗,
一畑電車,北松江線,電鉄出雲市,松江しんじ湖温泉,33.9,33.9,0,,電鉄出雲市→松江しんじ湖温泉,33.9
一畑電車,大社線,川跡,出雲大社前,8.3,8.3,0,,川跡→出雲大社前,8.3
高松琴平電気鉄道,琴平線,高松築港,琴電琴平,32.9,0,32.9,post_add,未乗,
高松琴平電気鉄道,長尾線,瓦町,長尾,14.6,0,14.6,post_add,未乗,
高松琴平電気鉄道,志度線,瓦町,琴電志度,12.5,0,12.5,post_add,未乗,
伊予鉄道,高浜線,高浜,松山市,9.4,0,9.4,post_add,未乗,
伊予鉄道,横河原線,松山市,横河原,13.2,0,13.2,post_add,未乗,
伊予鉄道,郡中線,松山市,郡中港,11.3,0,11.3,post_add,未乗,
JR東海交通事業,城北線,古町,平和通一丁目,2.7,0,2.7,post_add,未乗,
伊予鉄道,城南線,道後温泉,西堀端,3.5,0,3.5,post_add,未乗,
伊予鉄道,城南線,平和通一丁目,上一万,0.1,0,0.1,post_add,未乗,
伊予鉄道,本町線,本町一丁目,本町六丁目,1.5,0,1.5,post_add,未乗,
伊予鉄道,大手町線,古町,西堀端,1.4,0,1.4,post_add,未乗,
伊予鉄道,花園線,松山市駅前,南堀端,0.4,0,0.4,post_add,未乗,
とさでん交通,伊野線,はりまや橋,伊野,11.2,0,11.2,post_add,未乗,
とさでん交通,後免線,後免町,はりまや橋,10.9,0,10.9,post_add,未乗,
とさでん交通,桟橋線,高知駅前,桟橋通五丁目,3.2,0,3.2,post_add,未乗,
土佐くろしお鉄道,中村線,窪川,中村,43,43,0,,窪川→中村,43
土佐くろしお鉄道,宿毛線,宿毛,中村,23.6,0,23.6,post_add,未乗,
土佐くろしお鉄道,阿佐線,後免,奈半利,42.7,0,42.7,post_add,未乗,
阿佐海岸鉄道,阿佐東線,阿波海南（モードインターチェンジ）,甲浦（モードインターチェンジ）,10,0,10,post_add,未乗,
,筑豊電気鉄道,黒崎駅前,筑豊直方,16,0,16,post_add,未乗,
西日本鉄道,甘木線,基山,甘木,13.7,0,13.7,post_add,未乗,
平成筑豊鉄道,伊田線,直方,田川伊田,16.1,0,16.1,post_add,未乗,
平成筑豊鉄道,糸田線,金田,田川後藤寺,6.8,0,6.8,post_add,未乗,
平成筑豊鉄道,田川線,行橋,田川伊田,26.3,0,26.3,post_add,未乗,
平成筑豊鉄道,門司港レトロ観光線,九州鉄道記念館,関門海峡めかり,2.1,0,2.1,post_add,未乗,
長崎電気軌道,赤迫支線,赤迫,住吉,0.3,0,0.3,post_add,未乗,
京成電鉄,本線,住吉,崇福寺（旧正覚寺下）,7,0,7,post_add,未乗,
長崎電気軌道,桜町支線,長崎駅前,市役所（旧市民会館）,0.9,0,0.9,post_add,未乗,
長崎電気軌道,大浦支線,新地中華街（旧築町）,石橋,1.1,0,1.1,post_add,未乗,
長崎電気軌道,蛍茶屋支線,西浜町／浜町アーケード,蛍茶屋,2.2,0,2.2,post_add,未乗,
松浦鉄道,西九州線,有田,佐世保,93.8,93.8,0,,有田←佐世保,93.8
島原鉄道,島原鉄道線,諫早,島原港,43.2,0,43.2,post_add,未乗,
熊本電気鉄道,菊池線,上熊本,御代志,10.6,0,10.6,post_add,未乗,
熊本電気鉄道,藤崎線,北熊本,藤崎宮前,2.3,0,2.3,post_add,未乗,
肥薩おれんじ鉄道,肥薩おれんじ鉄道線,八代,川内,116.9,116.9,0,,八代←川内,116.9
南阿蘇鉄道,高森線,立野,高森,17.7,0,17.7,post_add,未乗,
くま川鉄道,湯前線,人吉温泉,湯前,24.8,0,24.8,post_add,未乗,
横浜市交通局,1号線,千葉みなと,県庁前,3.2,0,3.2,post_add,未乗,
千葉都市モノレール,2号線,千葉,千城台,12,0,12,post_add,未乗,
舞浜リゾートライン,ディズニーリゾートライン,リゾートゲートウェイ・ステーション,リゾートゲートウェイ・ステーション,5,0,5,post_add,未乗,
東京モノレール,東京モノレール羽田空港線,モノレール浜松町,羽田空港第2ターミナル,17.8,17.8,0,,モノレール浜松町→羽田空港第2ターミナル,17.8
多摩都市モノレール,多摩都市モノレール線,上北台,多摩センター,16,0,16,post_add,未乗,
湘南モノレール,江の島線,大船,湘南江の島,6.6,6.6,0,,大船→湘南江の島,6.6
大阪モノレール,大阪モノレール線,大阪空港,門真市,21.2,0,21.2,post_add,未乗,
大阪モノレール,国際文化公園都市線,万博記念公園,彩都西,6.8,0,6.8,post_add,未乗,
北九州高速鉄道,小倉線,小倉,企救丘,8.8,0,8.8,post_add,未乗,
沖縄都市モノレール,沖縄都市モノレール線,那覇空港,てだこ浦西,17,0,17,post_add,未乗,
埼玉新都市交通,伊奈線,大宮,内宿,12.7,0,12.7,post_add,未乗,
山万,ユーカリが丘線,ユーカリが丘,公園,4.1,0,4.1,post_add,未乗,
ゆりかもめ,東京臨海新交通臨海線,新橋,豊洲,14.7,0,14.7,post_add,未乗,
横浜シーサイドライン,金沢シーサイド線,新杉田,金沢八景,10.8,0,10.8,post_add,未乗,
名古屋ガイドウェイバス,ガイドウェイバス志段味線,大曽根,小幡緑地,6.5,0,6.5,post_add,未乗,
神戸新交通,ポートアイランド線,三宮,中公園,6.4,0,6.4,post_add,未乗,
神戸新交通,ポートアイランド線,市民広場,神戸空港,4.4,0,4.4,post_add,未乗,
神戸新交通,六甲アイランド線,住吉,マリンパーク,4.5,0,4.5,post_add,未乗,
広島高速交通,広島新交通1号線,本通,広域公園前,18.4,0,18.4,post_add,未乗,
青函トンネル記念館,青函トンネル竜飛斜坑線,青函トンネル記念館,体験坑道,0.8,0,0.8,post_add,未乗,
南海電気鉄道,鋼索線,黒部湖,黒部平,0.8,0,0.8,post_add,未乗,
南海電気鉄道,鋼索線,立山,美女平,1.3,0,1.3,post_add,未乗,
筑波観光鉄道,筑波山鋼索鉄道線,宮脇,筑波山頂,1.6,0,1.6,post_add,未乗,
高尾登山電鉄,ケーブルカー,清滝,高尾山,1,0,1,post_add,未乗,
高尾登山電鉄,ケーブルカー,滝本,御岳山,1,0,1,post_add,未乗,
大山観光電鉄,大山鋼索線,大山ケーブル,阿夫利神社,0.8,0,0.8,post_add,未乗,
十国峠,十国鋼索線,十国峠山麓,十国峠山頂,0.3,0,0.3,post_add,未乗,
比叡山鉄道,比叡山鉄道線,ケーブル坂本,ケーブル延暦寺,2,0,2,post_add,未乗,
鞍馬寺,鞍馬山鋼索鉄道線,山門,多宝塔,0.2,0,0.2,post_add,未乗,
丹後海陸交通,天橋立鋼索鉄道,府中,傘松,0.4,0,0.4,post_add,未乗,
神戸六甲鉄道,六甲ケーブル線,六甲ケーブル下,六甲山上,1.7,0,1.7,post_add,未乗,
こうべ未来都市機構,摩耶ケーブル線,摩耶ケーブル,虹,0.9,0,0.9,post_add,未乗,
四国ケーブル,八栗ケーブル,八栗登山口,八栗山上,0.7,0,0.7,post_add,未乗,
皿倉登山鉄道,皿倉山ケーブルカー,山麓,山上,1.1,0,1.1,post_add,未乗,
ラクテンチ,別府ラクテンチケーブル線,雲泉寺(ラクテンチ下),乙原(ラクテンチ上),0.3,0,0.3,post_add,未乗,
愛知高速交通,東部丘陵線,藤が丘,八草,8.9,0,8.9,post_add,未乗,
