鉄道会社,路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
名古屋鉄道,豊田線,梅坪,赤池,15.2,0,15.2,post_add,未乗,
名古屋鉄道,蒲郡線,吉良吉田,蒲郡,17.6,0,17.6,post_add,未乗,
名古屋鉄道,常滑線,神宮前,常滑,29.3,17,12.3,post_add,太田川→常滑,17
名古屋鉄道,築港線,大江,東名古屋港,1.5,0,1.5,post_add,未乗,
名古屋鉄道,河和線,太田川,河和,28.8,22.3,6.5,post_add,太田川→富貴,22.3
名古屋鉄道,知多新線,富貴,内海,13.9,13.9,0,,富貴→内海,13.9
名古屋鉄道,瀬戸線,栄町,尾張瀬戸,20.6,0,20.6,post_add,未乗,
名古屋鉄道,小牧線,上飯田,犬山,20.6,20.6,0,,上飯田→犬山,20.6
名古屋鉄道,各務原線,名鉄岐阜,新鵜沼,17.6,0,17.6,post_add,未乗,
名古屋鉄道,犬山線,[枇杷島分岐点],新鵜沼,26.8,1.9,24.9,post_add,犬山→新鵜沼,1.9
名古屋鉄道,広見線,犬山,御嵩,22.3,0,22.3,post_add,未乗,
名古屋鉄道,津島線,須ヶ口,津島,11.8,0,11.8,post_add,未乗,
名古屋鉄道,尾西線,弥富,玉ノ井,30.9,0,30.9,post_add,未乗,
名古屋鉄道,竹鼻線,笠松,江吉良,10.3,0,10.3,post_add,未乗,
名古屋鉄道,羽島線,江吉良,新羽島,1.3,0,1.3,post_add,未乗,
名古屋鉄道,豊川線,国府,豊川稲荷,7.2,0,7.2,post_add,未乗,
京浜急行電鉄,空港線,常滑,中部国際空港,4.2,4.2,0,,常滑→中部国際空港,4.2
近畿日本鉄道,大阪線,大阪上本町,伊勢中川,108.9,108.9,0,,大阪上本町→伊勢中川,108.9
近畿日本鉄道,難波線,大阪難波,大阪上本町,2,2,0,,大阪難波→大阪上本町,2
近畿日本鉄道,山田線,伊勢中川,宇治山田,28.3,28.3,0,,伊勢中川→宇治山田,28.3
近畿日本鉄道,奈良線,布施,近鉄奈良,26.7,26.7,0,,布施←生駒,14.2
近畿日本鉄道,奈良線,,,,0,0,,生駒←大和西大寺,8.1
近畿日本鉄道,奈良線,,,,0,0,,大和西大寺→近鉄奈良,4.4
近畿日本鉄道,けいはんな線,長田,学研奈良登美ヶ丘,18.8,0,18.8,post_add,未乗,
近畿日本鉄道,橿原線,大和西大寺,橿原神宮前,23.8,23.8,0,,大和西大寺←橿原神宮前,23.8
近畿日本鉄道,天理線,平端,天理,4.5,4.5,0,,平端→天理,4.5
近畿日本鉄道,信貴線,河内山本,信貴山口,2.8,0,2.8,post_add,未乗,
近畿日本鉄道,南大阪線,大阪阿部野橋,橿原神宮前,39.7,39.7,0,,大阪阿部野橋→橿原神宮前,39.7
近畿日本鉄道,吉野線,橿原神宮前,吉野,25.2,9.5,15.7,post_add,橿原神宮前→吉野口,9.5
近畿日本鉄道,長野線,古市,河内長野,12.5,12.5,0,,古市→河内長野,12.5
近畿日本鉄道,京都線,京都,大和西大寺,34.6,34.6,0,,京都←近鉄丹波橋,6
近畿日本鉄道,京都線,,,,0,0,,近鉄丹波橋→大和西大寺,28.6
近畿日本鉄道,生駒線,王寺,生駒,12.4,12.4,0,,王寺→生駒,12.4
近畿日本鉄道,田原本線,新王寺,西田原本,10.1,10.1,0,,新王寺←西田原本,10.1
近畿日本鉄道,道明寺線,道明寺,柏原,2.2,0,2.2,post_add,未乗,
近畿日本鉄道,御所線,尺土,近鉄御所,5.2,0,5.2,post_add,未乗,
近畿日本鉄道,名古屋線,伊勢中川,近鉄名古屋,78.8,78.8,0,,伊勢中川→近鉄名古屋,78.8
近畿日本鉄道,鈴鹿線,伊勢若松,平田町,8.2,0,8.2,post_add,未乗,
近畿日本鉄道,湯の山線,近鉄四日市,湯の山温泉,15.4,0,15.4,post_add,未乗,
近畿日本鉄道,志摩線,鳥羽,賢島,24.5,24.5,0,,鳥羽→賢島,24.5
近畿日本鉄道,鳥羽線,宇治山田,鳥羽,13.2,13.2,0,,宇治山田→鳥羽,13.2
近畿日本鉄道,生駒鋼索線,鳥居前,生駒山上,2,0,2,post_add,未乗,
近畿日本鉄道,西信貴鋼索線,信貴山口,高安山,1.3,0,1.3,post_add,未乗,
南海電気鉄道,南海本線,難波,和歌山市,64.2,64.2,0,,難波→和歌山市,64.2
